"#This table contains the distance to pathways and flow value of 500 cohorts of random points and archaeological sites. This table is used in the ""evaluation"" R script ",,,,,,,
rdm_distance_mean,rdm_flow_mean,sites_flow_mean,sites_distance_mean,cropland_flow_mean,cropland_distance_mean,non_cropland_flow_mean,non_cropland_distance_mean
21.00051951,22268694.36,,,,,,
20.51781125,11562855.83,,,,,,
22.33610229,13474433.33,,,,,,
21.85229076,36042841.86,,,,,,
21.9570583,15069884.5,,,,,,
21.14139113,24351245.96,,,,,,
21.56156121,15897061.54,,,,,,
21.43382039,30048978.75,,,,,,
21.32450056,19984494.52,,,,,,
21.30001646,18132085.16,,,,,,
21.02347157,21769833.57,,,,,,
21.51073941,11405273.12,,,,,,
21.15450825,33229736.58,,,,,,
21.65805554,3436349.56,,,,,,
21.88406489,10296408.55,,,,,,
20.76646341,15624098.95,,,,,,
21.14186724,21654753.1,,,,,,
21.56119169,23521614.87,,,,,,
21.56407792,26630701.1,,,,,,
21.1899059,39498484.35,,,,,,
20.76250442,14480551.29,,,,,,
22.94090049,9826191.115,,,,,,
21.51487124,15686532.78,,,,,,
20.46955526,14646869.71,,,,,,
21.92333135,5631042.699,,,,,,
21.45810549,20475847.33,,,,,,
21.08174527,8919772.888,,,,,,
20.37694035,33549384.7,,,,,,
21.70542199,13513601.07,,,,,,
21.21682285,8618908.74,,,,,,
21.15108938,26600835.12,,,,,,
21.29776656,3927145.296,,,,,,
21.03331977,11049146.37,,,,,,
21.22138444,15540002.45,,,,,,
21.25261704,21073022.97,,,,,,
20.51211049,19372399.63,,,,,,
20.87206556,18334794.59,,,,,,
21.28468206,22803926.25,,,,,,
20.73764466,24473784.05,,,,,,
20.37176159,29353825.97,,,,,,
21.62917332,16912803.19,,,,,,
20.79801834,13651943.05,,,,,,
21.66919445,13846843.1,,,,,,
21.38553208,24207585.43,,,,,,
21.80651044,4084099.524,,,,,,
21.3586167,22533006.92,,,,,,
20.13927165,9693655.978,,,,,,
21.5102706,24812581.05,,,,,,
22.10932845,20293324.07,,,,,,
22.39031732,8154987.355,,,,,,
21.71325187,19804885.91,,,,,,
20.59709284,7461116.454,,,,,,
20.41056601,16085882.32,,,,,,
20.92191011,4256448.769,,,,,,
22.13864185,16807518.45,,,,,,
21.51191003,14694365.68,,,,,,
21.38551974,23856586.17,,,,,,
21.25730445,12787998.52,,,,,,
21.90201239,7632753.115,,,,,,
22.00948815,21032822.95,,,,,,
22.40374561,5728515.13,,,,,,
21.21705986,10680381.9,,,,,,
19.7205446,13942867.91,,,,,,
21.37696514,19821922.06,,,,,,
20.47615979,9743640.232,,,,,,
21.44462228,18150427.32,,,,,,
21.41467325,40046174.8,,,,,,
20.80012007,29772688.15,,,,,,
21.65255347,11733248.21,,,,,,
19.93248708,10596018,,,,,,
23.09019107,8367876.518,,,,,,
21.29706051,4515155.155,,,,,,
22.20608808,10097772.12,,,,,,
21.30542736,33560251.98,,,,,,
21.95106186,12114116.58,,,,,,
21.33392607,1704165.122,,,,,,
20.16651829,17278044.24,,,,,,
20.92551633,12530684.93,,,,,,
21.88236735,25035838.97,,,,,,
21.47278075,8631706.429,,,,,,
21.81797499,14732626.43,,,,,,
21.22231739,7821817.103,,,,,,
20.59007744,40392911.89,,,,,,
20.97131096,26968544.88,,,,,,
21.96263769,8030044.14,,,,,,
20.27874595,17326263.39,,,,,,
22.3788818,13104590.71,,,,,,
22.12272407,23088215.26,,,,,,
21.32525244,22064391.91,,,,,,
21.78658589,5923274.762,,,,,,
21.47361565,10866362.57,,,,,,
21.24798808,27189650.11,,,,,,
20.99410338,17605980.09,,,,,,
21.69660975,21058660.51,,,,,,
21.95609767,19114025.36,,,,,,
20.74763916,23493158.59,,,,,,
21.6423091,31088211.55,,,,,,
21.54499721,21123226.24,,,,,,
21.92690721,20992084.42,,,,,,
21.36629034,17234467,,,,,,
22.0940135,14245140.98,,,,,,
20.60257337,10445749.39,,,,,,
21.08720914,8096845.738,,,,,,
21.13183035,14436989.68,,,,,,
22.09208307,7582331.905,,,,,,
20.48659821,11312339.78,,,,,,
20.62933728,10297580.63,,,,,,
20.83277943,27998583.68,,,,,,
21.11060373,20028050.18,,,,,,
21.82879711,5480588.328,,,,,,
21.00923385,4419568.156,,,,,,
21.93540525,11255661.86,,,,,,
2.11E+01,6410698.274,,,,,,
